tileset,size,heuristic,time
Summer,32,Restart,0.099889916
Summer,32,Restart,0.070919292
Summer,32,Restart,0.018081333
Summer,32,Restart,0.018315417
Summer,32,Restart,0.018265709
Summer,32,Restart,0.047022125
Summer,32,Restart,0.017625375
Summer,32,Restart,0.018213666
Summer,32,Restart,0.038035375
Summer,32,Restart,0.028967375
Summer,32,Restart,0.04647625
Summer,32,Restart,0.018020916
Summer,32,Restart,0.08231475
Summer,32,Restart,0.033396958
Summer,32,Restart,0.01729
Summer,32,Restart,0.043860542
Summer,32,Restart,0.017248791
Summer,32,Restart,0.15967675
Summer,32,Restart,0.042266292
Summer,32,Restart,0.01772375
Summer,32,Standard,0.045484833
Summer,32,Standard,0.018393584
Summer,32,Standard,0.023865
Summer,32,Standard,0.417432125
Summer,32,Standard,0.022903458
Summer,32,Standard,1.002094791
Summer,32,Standard,0.019542166
Summer,32,Standard,0.019068541
Summer,32,Standard,1.0013135
Summer,32,Standard,0.245772416
Summer,32,Standard,1.00174
Summer,32,Standard,0.107573917
Summer,32,Standard,0.019116125
Summer,32,Standard,0.023212583
Summer,32,Standard,1.000451167
Summer,32,Standard,0.017080583
Summer,32,Standard,0.026195
Summer,32,Standard,0.018622708
Summer,32,Standard,1.00074075
Summer,32,Standard,0.020373417
Summer,32,Degree,0.017565584
Summer,32,Degree,0.026229041
Summer,32,Degree,0.021364792
Summer,32,Degree,0.01787575
Summer,32,Degree,0.020043708
Summer,32,Degree,0.02537025
Summer,32,Degree,0.017447041
Summer,32,Degree,0.02355225
Summer,32,Degree,0.025872042
Summer,32,Degree,0.022001042
Summer,32,Degree,0.01839
Summer,32,Degree,0.036982542
Summer,32,Degree,0.018344
Summer,32,Degree,0.028698292
Summer,32,Degree,0.065697667
Summer,32,Degree,0.021344667
Summer,32,Degree,0.01907625
Summer,32,Degree,0.037592917
Summer,32,Degree,0.032762333
Summer,32,Degree,0.018124292
Summer,32,Proportional,0.033342167
Summer,32,Proportional,0.524435959
Summer,32,Proportional,0.024860541
Summer,32,Proportional,0.017599416
Summer,32,Proportional,0.025738792
Summer,32,Proportional,0.08678825
Summer,32,Proportional,0.016990625
Summer,32,Proportional,0.026302709
Summer,32,Proportional,0.030217625
Summer,32,Proportional,0.287694709
Summer,32,Proportional,0.021310459
Summer,32,Proportional,0.399572958
Summer,32,Proportional,0.02476075
Summer,32,Proportional,0.01850125
Summer,32,Proportional,0.017761666
Summer,32,Proportional,0.019846834
Summer,32,Proportional,0.017801792
Summer,32,Proportional,0.022830291
Summer,32,Proportional,0.037246625
Summer,32,Proportional,0.030442916
Summer,32,Fixed,0.056516042
Summer,32,Fixed,0.135063709
Summer,32,Fixed,0.109244208
Summer,32,Fixed,0.029525041
Summer,32,Fixed,0.029922
Summer,32,Fixed,0.038728792
Summer,32,Fixed,0.03640425
Summer,32,Fixed,0.018989291
Summer,32,Fixed,0.017773084
Summer,32,Fixed,0.044215
Summer,32,Fixed,0.03825125
Summer,32,Fixed,0.050512792
Summer,32,Fixed,0.018107666
Summer,32,Fixed,0.017967291
Summer,32,Fixed,0.03867575
Summer,32,Fixed,0.048044792
Summer,32,Fixed,0.018375959
Summer,32,Fixed,0.027317625
Summer,32,Fixed,0.017806541
Summer,32,Fixed,0.017395667
Summer,64,Restart,20.000254375
Summer,64,Restart,20.000192583
Summer,64,Restart,20.000164875
Summer,64,Restart,20.000221042
Summer,64,Restart,20.000211917
Summer,64,Restart,11.587477334
Summer,64,Restart,20.000231083
Summer,64,Restart,20.000220375
Summer,64,Restart,20.000213542
Summer,64,Restart,20.000172458
Summer,64,Standard,20.00102325
Summer,64,Standard,20.007087875
Summer,64,Standard,20.010432042
Summer,64,Standard,20.010281417
Summer,64,Standard,20.002377625
Summer,64,Standard,20.001341917
Summer,64,Standard,20.00467825
Summer,64,Standard,20.007132125
Summer,64,Standard,20.006686625
Summer,64,Standard,20.008990375
Summer,64,Degree,1.355896791
Summer,64,Degree,0.333965
Summer,64,Degree,1.838214083
Summer,64,Degree,0.37882425
Summer,64,Degree,1.136747542
Summer,64,Degree,0.641704167
Summer,64,Degree,0.809709708
Summer,64,Degree,0.790831042
Summer,64,Degree,0.372619083
Summer,64,Degree,1.142818041
Summer,64,Proportional,20.000198625
Summer,64,Proportional,20.000549458
Summer,64,Proportional,1.486772
Summer,64,Proportional,18.082260708
Summer,64,Proportional,5.257734459
Summer,64,Proportional,3.40824625
Summer,64,Proportional,0.90479025
Summer,64,Proportional,19.616326916
Summer,64,Proportional,0.598707916
Summer,64,Proportional,20.002526708
Summer,64,Fixed,11.72053725
Summer,64,Fixed,11.987350333
Summer,64,Fixed,0.755325708
Summer,64,Fixed,1.637991291
Summer,64,Fixed,1.524002625
Summer,64,Fixed,1.177473375
Summer,64,Fixed,0.402679458
Summer,64,Fixed,1.619331166
Summer,64,Fixed,0.943701417
Summer,64,Fixed,2.9076435
Summer,96,Restart,30.000387292
Summer,96,Restart,30.000385042
Summer,96,Restart,30.00044875
Summer,96,Restart,30.000352125
Summer,96,Restart,30.000378917
Summer,96,Standard,30.015884375
Summer,96,Standard,30.005623875
Summer,96,Standard,30.023321792
Summer,96,Standard,30.007124417
Summer,96,Standard,30.00800475
Summer,96,Degree,9.438528709
Summer,96,Degree,5.2833525
Summer,96,Degree,8.305158292
Summer,96,Degree,5.649852375
Summer,96,Degree,11.898532041
Summer,96,Proportional,30.005225292
Summer,96,Proportional,30.000357917
Summer,96,Proportional,30.000408916
Summer,96,Proportional,30.000406583
Summer,96,Proportional,30.006633917
Summer,96,Fixed,30.020771875
Summer,96,Fixed,30.005290792
Summer,96,Fixed,30.000487375
Summer,96,Fixed,30.013568875
Summer,96,Fixed,30.001230958
